x,y
-423.1584000539624,150.67436126738176
-421.5588137801569,152.4470332131241
-421.5588137801569,152.4470332131241
-421.5588137801569,152.4470332131241
-420.97234261779886,148.82733978880424
-419.2961493054936,150.9211705241105
-418.7862851709542,146.98031827402156
-418.7862846967655,146.9803182797259
-417.0334848204402,149.39530780657515
-416.38073108763274,145.21165809735976
-415.08515390825414,144.25300088270887
-413.78957672878823,143.29434366025816
-412.342349935283,142.2234738315674
-410.89512314404783,141.15260398948885
-409.2464174948873,139.93265044772852
-407.5977118424671,138.71269688967004
-406.27006828053345,137.73031212973729
-404.2737140046265,137.11922046555992
-403.0718833519677,137.53070929369278
-403.05498402948797,135.3513233625781
-401.05708753854924,133.87298830891814
-398.703816819896,132.13169413469586
-397.4857044860146,131.23064298359532
-396.26759215987477,130.32959182469494
-393.86302352625717,128.5552597474525
-391.4501185089357,126.77456285573862
-389.04642361293736,125.00066178946145
-386.6378751741322,123.2191302511128
-383.48727703946133,120.88711648529716
-381.07686574659965,119.10044585205469
-378.66645432515725,117.31377506223362
-376.2560433773797,115.52710410407599
-373.8427676477186,113.74049101620767
-370.2255823013729,111.06270162018336
-368.05297939152297,109.45218511544954
-365.78782661275545,107.7624742870903
-363.5359659807764,106.08300603160023
-359.6125037030324,103.16908033252548
-357.19722055325474,101.38789945109602
-353.5761238283776,98.71669523652963
-351.1619459251415,96.93403050992492
-348.7493680839434,95.15153004987951
-345.6935383925338,92.89152936418395
-343.2917071863667,91.1149307030937
-340.8859200567131,89.33529842716962
-336.5288687078755,86.1106857712366
-334.1167521680363,84.32463584667858
-330.49693472583385,81.6457053148406
-328.08159253090344,79.86023497152928
-326.8739512474749,78.96764615110442
-324.45928961462414,77.18504543627932
-320.5394892714867,74.28982492887735
-318.13823961133676,72.51540633630793
-315.7337872283424,70.73677410094388
-313.3319495108335,68.96007687798556
-310.92749928015473,67.181445702583
-308.52724865994605,65.40567027104407
-306.1238574029303,63.625599178158154
-303.3806545283187,61.58960263538029
-300.98240246471323,59.80784925878834
-298.58658677437415,58.027910455501114
-296.1883347715084,56.24616082084685
-293.79050232690133,54.465571511325834
-291.39050945306735,52.68519795001339
-286.5982419331158,49.131370882525516
-283.93047444777403,47.16158551946137
-282.7234573564092,46.2707680234671
-277.8070428565734,50.57063036891486
-274.4740306677595,48.108157967006264
-272.06022527251116,46.32429104579933
-270.696307900118,38.246476150605304
-268.0199113844901,37.121021471240965
-265.3435148471508,35.99556677208602
-262.8436045402668,34.365006194588204
-260.3476238552721,32.75221059508476
-258.66591568450167,31.665562777103332
-256.16038083525564,30.08948539665289
-253.7398754111964,28.563119029648078
-251.29730975006896,26.825581809644063
-248.09094299724165,24.46530772875849
-246.88601091668897,23.56824146143481
-245.68107883666016,22.67117517839506
-241.91483577010877,19.860741293079627
-240.71227897644349,18.96328233836539
