x,y
190839.37820089032,552835.3104867127
190836.84984232998,552832.7846763055
190836.84984232998,552832.7846763055
190836.84984232998,552832.7846763055
190834.44994556488,552834.5498920891
190834.44994556488,552834.5498920891
190835.75332943595,552837.9796285382
190832.05004686778,552836.3151092308
190832.05004686778,552836.3151092308
190833.35959644214,552839.7489341375
190832.0581936001,552840.7167217731
190830.75679060046,552841.6845093578
190830.75679060046,552841.6845093578
190828.63007850543,552838.829573082
190828.6349241924,552843.2564777696
190826.21642587185,552840.5998235199
190826.23292892132,552845.0357906651
190826.23292892132,552845.0357906651
190823.80655456596,552842.3671777766
190823.82382839092,552846.8170426012
190823.82382839092,552846.8170426012
190822.35540435603,552847.9017989499
190822.35540435603,552847.9017989499
190819.95197304283,552849.6814513898
190819.95197304283,552849.6814513898
190818.73485272183,552850.5782023955
190817.51773241628,552851.474953389
190817.51773241628,552851.474953389
190815.10098263194,552853.2355897542
190815.10098263194,552853.2355897542
190814.6249977549,552853.5823512422
190812.68423287524,552854.9962253687
190812.68423287524,552854.9962253687
190810.70232101443,552856.45090801
190810.70232101443,552856.45090801
190808.40029835544,552858.0699948105
190808.40029835544,552858.0699948105
190808.40029835544,552858.0699948105
190806.09827575492,552859.6890814843
190806.09827575492,552859.6890814843
190803.7962531658,552861.3081681206
190803.7962531658,552861.3081681206
190801.49423058805,552862.9272547363
190801.49423058805,552862.9272547363
190801.49423058805,552862.9272547363
190799.1922080217,552864.5463413167
190799.1922080217,552864.5463413167
190796.89018546225,552866.1654278644
190796.89018546225,552866.1654278644
190794.58816291642,552867.784514374
190794.58816291642,552867.784514374
190792.286140382,552869.4036008501
190792.286140382,552869.4036008501
190792.286140382,552869.4036008501
190789.98411785896,552871.0226873038
190789.98411785896,552871.0226873038
190787.68209534505,552872.6417737227
190787.68209534505,552872.6417737227
190785.38007296374,552874.2608599766
190785.38007284477,552874.2608600934
190782.9986602331,552875.9791452475
190782.9986602331,552875.9791452475
190782.9986602331,552875.9791452475
190780.5784086569,552877.7253773763
190780.5784086569,552877.7253773763
190778.9001020221,552878.9320089477
190777.22179539147,552880.1386405063
190777.22179539147,552880.1386405063
190775.54348876944,552881.3452720437
190774.3408187342,552882.2421964312
190774.3408187342,552882.2421964312
190773.13814783652,552883.1391202875
190771.9354769378,552884.0360441233
190770.73280604472,552884.9329679507
190769.53013517425,552885.8298908258
190768.32746430498,552886.7268136811
190768.32746430498,552886.7268136811
190767.12479246253,552887.6237374652
190765.92212062355,552888.5206612402
190764.71944975833,552889.4175845394
190763.51677888082,552890.3145078336
190762.31410798256,552891.211431605
190762.31410798256,552891.211431605
190761.11143709673,552892.1083553587
190759.90876622277,552893.0052786374
190758.7060953545,552893.9022018948
190757.50342448792,552894.7991256217
190757.50342448792,552894.7991256217
190756.30075362255,552895.6960493351
190755.09808276282,552896.5929730384
190753.89541190432,552897.489896744
190752.69274011772,552898.3868194591
190752.69274011772,552898.3868194591
190751.4900683278,552899.2837421572
190750.28739747958,552900.1806658331
190749.0847266325,552901.0775894932
190749.0847266325,552901.0775894932
190747.88205578443,552901.9745131457
190746.679384942,552902.8714367996
190745.47671316922,552903.7683594468
190745.47671316922,552903.7683594468
190744.27404139988,552904.6652820896
190743.07137151842,552905.5622057215
190740.749672784,552902.8423875776
190741.86870163365,552906.4591293514
190740.66602987237,552907.3560519709
190739.46335811677,552908.2529745875
190739.46335811677,552908.2529745875
190736.96077020868,552905.7453305563
190737.05801833293,552910.0468236831
190734.60066289984,552907.5842020977
190734.60066289984,552907.5842020977
190733.5516232326,552908.4022734825
190732.36307163784,552909.3175667917
190732.36307163784,552909.3175667917
190731.17452004427,552910.2328600995
190729.98596798215,552911.148153384
190729.98596798215,552911.148153384
190728.79741591675,552912.0634466797
190727.60886433118,552912.9787399458
190727.60886433118,552912.9787399458
190726.42031275356,552913.8940332239
190726.42031275356,552913.8940332239
190725.23176115123,552914.8093274351
190724.04320955454,552915.7246216272
190724.04320955454,552915.7246216272
190722.85465797823,552916.6399148735
190722.85465797823,552916.6399148735
190721.66610640308,552917.5552081034
190721.0019665549,552918.0666537657
190721.0019665549,552918.0666537657
190718.76066447547,552919.774036011
190718.76066447547,552919.774036011
190718.76066447547,552919.774036011
190716.5193623721,552921.4814191569
190716.5193623721,552921.4814191569
190716.5193623721,552921.4814191569
190714.27806027973,552923.1888022858
190714.27806027973,552923.1888022858
190714.27806027973,552923.1888022858
190712.03675819826,552924.8961853532
190712.03675819826,552924.8961853532
190712.03675819826,552924.8961853532
190709.79545612104,552926.6035684013
190709.79545612104,552926.6035684013
190709.79545612104,552926.6035684013
190707.55415405703,552928.3109514319
190707.55415405703,552928.3109514319
190707.55415405703,552928.3109514319
190705.3128519972,552930.0183344014
190705.3128519972,552930.0183344014
190705.3128519972,552930.0183344014
190703.07154995063,552931.7257173498
190703.07154995063,552931.7257173498
190700.83024790825,552933.4331002748
190700.83024790825,552933.4331002748
190700.83024790825,552933.4331002748
190698.58894587235,552935.1404831538
190698.58894587235,552935.1404831538
190696.34764385188,552936.8478659994
190696.34764385188,552936.8478659994
190696.34764385188,552936.8478659994
190694.10634183566,552938.555248819
190694.10634183566,552938.555248819
190691.8650398304,552940.2626315895
190691.8650398304,552940.2626315895
190689.67076715833,552941.9155967279
190689.67076715833,552941.9155967279
190688.86919097282,552942.5194298434
190686.45865569107,552944.2911961743
190686.45865569107,552944.2911961743
190684.0481204124,552946.0629624734
190684.0481204124,552946.0629624734
190683.03889685462,552946.8044858167
190681.82180805245,552947.7137388393
190680.60471822493,552948.6229922788
190679.91514667746,552949.1382415208
190677.50761319805,552950.9177746472
190677.50761319805,552950.9177746472
190675.1000787383,552952.6973096386
190675.1000787383,552952.6973096386
190672.69254530204,552954.4768417624
190672.69254530204,552954.4768417624
190670.28501186194,552956.2563747953
190667.8774769729,552958.035908717
190667.8774769729,552958.035908717
190665.4699442689,552959.8154414305
190665.4699442689,552959.8154414305
190663.06241193085,552961.5949741229
190663.06241193085,552961.5949741229
190660.65487539835,552963.3745084006
190660.65487539835,552963.3745084006
190658.24734237598,552965.154040751
190656.35906560352,552966.5262563397
190655.01198372504,552967.4926075967
190655.01198372504,552967.4926075967
190652.5836155177,552969.234637637
190650.1552497106,552970.9766676824
190650.1552497106,552970.9766676824
190647.72688201285,552972.718697184
