x,y
189523.98240051334,553705.2718731964
189523.98240051334,553705.2718731964
189526.47340889866,553705.9637012306
189526.47340889866,553705.9637012306
189526.47340889866,553705.9637012306
189526.47340889866,553705.9637012306
189528.9644173103,553706.6555292809
189528.9644173103,553706.6555292809
189528.9644173103,553706.6555292809
189528.40514548082,553709.2081175613
189531.5305338214,553708.1680553724
189531.5305338214,553708.1680553724
189530.88071365547,553710.900986214
189530.88071365547,553710.900986214
189533.3438030761,553709.2439243653
189533.35093978856,553712.5845015731
189533.35093978856,553712.5845015731
189533.35093978856,553712.5845015731
189533.35093978856,553712.5845015731
189535.70712298955,553714.1865855171
189535.70712298955,553714.1865855171
189535.70712298955,553714.1865855171
189535.70712298955,553714.1865855171
189538.19226196827,553715.8662053506
189538.19226196827,553715.8662053506
189538.19290414028,553715.8666396384
189538.19290414028,553715.8666396384
189540.6767574603,553717.5481634868
189540.6767574603,553717.5481634868
189540.68139496897,553717.5513028519
189540.68139496897,553717.5513028519
189542.89926022157,553719.0545916568
189542.89926022157,553719.0545916568
189542.89926022157,553719.0545916568
189542.89926022157,553719.0545916568
189545.3591640054,553720.7595562728
189545.3591640054,553720.7595562728
189545.3591640054,553720.7595562728
189545.3591640054,553720.7595562728
189547.60181701335,553722.3170354873
189547.60181701335,553722.3170354873
189547.60181701335,553722.3170354873
189547.60181701335,553722.3170354873
189550.06252987462,553724.0012101784
189550.06252987462,553724.0012101784
189550.06252987462,553724.0012101784
189550.06252987462,553724.0012101784
189552.52325038242,553725.6853850613
189552.52325038242,553725.6853850613
189552.52325038242,553725.6853850613
189553.13143656807,553726.1016426333
189553.13143656807,553726.1016426333
189555.8558474643,553723.3686995483
189556.17388494982,553723.5745616404
189555.57958867127,553727.7744404573
189558.69951387797,553725.1894168529
189558.69951387797,553725.1894168529
189558.69951387797,553725.1894168529
189558.69951387797,553725.1894168529
189561.224801546,553726.8037717436
189561.224801546,553726.8037717436
189561.224801546,553726.8037717436
189561.224801546,553726.8037717436
189563.5005434189,553728.2584681328
189563.5005434189,553728.2584681328
189563.5005434189,553728.2584681328
189563.5005434189,553728.2584681328
189566.00930897624,553729.8795566532
189566.00930897624,553729.8795566532
189566.00930897624,553729.8795566532
189567.59286361517,553730.9028002167
189567.59286361517,553730.9028002167
189567.59286361517,553730.9028002167
189570.10386094725,553732.5375026169
189570.10386094725,553732.5375026169
189570.10386094725,553732.5375026169
189570.10386094725,553732.5375026169
189571.84717356277,553733.6775559407
189571.94242975308,553733.7250382465
189573.76617033617,553734.6341100188
189573.76617033617,553734.6341100188
189575.52612996846,553735.4135065748
189575.52612996846,553735.4135065748
189576.88050170912,553736.0114060037
189576.88050170912,553736.0114060037
189578.39194129815,553736.6066503791
189579.7505832805,553737.0147655404
189581.17307196552,553737.3149468603
189582.0235366671,553737.4370714389
189582.0235366671,553737.4370714389
189583.5559358896,553737.6117239031
189585.91375663795,553737.4409255934
189585.91375663795,553737.4409255934
189588.4714007729,553737.0443627271
189588.4714007729,553737.0443627271
189590.3267267807,553736.5193300577
189590.3267267807,553736.5193300577
189592.1820527991,553735.9942973903
189592.1820527991,553735.9942973903
189594.96281532026,553735.1704477238
189594.96281532026,553735.1704477238
189596.83770985712,553734.5953273063
189596.83770985712,553734.5953273063
189598.71260400722,553734.0202069023
189601.1141837288,553732.2415356111
189601.1141837288,553732.2415356111
189603.5157634651,553730.4628642872
189603.5157634651,553730.4628642872
189604.73155690168,553729.5585768115
189606.89068930998,553726.638031345
189606.89068930998,553726.638031345
189607.83402832685,553724.6217734477
189607.83402832685,553724.6217734477
189608.77736732757,553722.6055155294
189608.77736732757,553722.6055155294
189608.77736732757,553722.6055155294
189611.1730801429,553720.8170794243
189611.1730801429,553720.8170794243
189612.73383605736,553719.6519461075
189613.94346804786,553718.7538490661
