,x,y
0,189858.54159994607,553546.0743612674
1,189860.14118621984,553547.8470332131
2,189862.91371530324,553542.3803182797
3,189866.61484609172,553539.6530008827
4,189870.80487685592,553536.5526039895
5,189874.10228815753,553534.1126968897
6,189878.6450159705,553530.7513233626
7,189884.214295514,553526.6306429836
8,189890.2498814911,553522.1745628557
9,189895.06212482587,553518.6191302511
10,189901.82833994017,553513.6071104628
11,189907.85723235225,553509.1404910162
12,189913.6470219665,553504.8521838107
13,189920.8798547177,553499.4596712409
14,189928.1238761716,553494.1166952365
15,189936.00646160747,553488.2915293642
16,189943.21760865292,553482.9564696982
17,189951.20306527414,553477.0457053147
18,189959.64625928574,553470.8082728736
19,189965.9662127717,553466.1367741011
20,189975.57614259707,553459.0255991782
21,189983.11341322566,553453.4279104555
22,189990.3094905469,553448.08519795
23,189997.76952555226,553442.5615855196
24,190008.4328720284,553442.6162245114
25,190013.6800886155,553432.5210214711
26,190021.35237614476,553428.1522105951
27,190027.96012458878,553423.9631190296
28,190036.0189211633,553418.0711751784
29,190043.39025256195,553412.5724515987
30,190047.98283027826,553409.1691810661
31,190055.1325600652,553405.5605047258
32,190062.13487802245,553402.759908149
33,190066.54029797183,553399.5149399736
34,190070.9364903436,553396.2606156772
35,190075.72834032236,553392.7003458508
36,190080.5282212162,553389.1418877129
37,190082.92816167558,553387.3626585904
38,190086.18374209185,553384.1313728968
39,190090.1279831237,553382.024970984
40,190092.52792362895,553380.2457417066
41,190094.35596970352,553382.6455000582
42,190097.29967121594,553380.7157614228
43,190100.00727732075,553382.2628397624
44,190102.31800022555,553380.5572322763
45,190106.66270764638,553381.3687203991
46,190108.1586814489,553384.7484649217
47,190113.32877569526,553386.529936831
48,190115.18459752487,553388.8357969783
49,190118.8962411604,553393.4475173728
50,190122.60788477102,553398.0592379172
51,190127.33145023364,553403.981116556
52,190132.92535131672,553411.0159321369
53,190138.51731405352,553418.0486216119
54,190144.53963587078,553425.4025646807
55,190150.2084781252,553432.3774279264
56,190156.17544417336,553439.7576159557
57,190161.83355648376,553446.7562298144
58,190169.27365026032,553455.990775336
59,190175.51224282602,553463.6425286614
60,190182.47709126942,553472.2358051485
61,190188.66019180685,553479.8652091565
62,190194.29620300964,553486.8185766565
63,190201.81459165906,553496.1444798311
64,190205.05324733452,553505.3023007252
65,190210.55701907765,553512.3742484739
66,190214.39990064668,553517.220311248
67,190220.10182555005,553524.2953503572
68,190223.8589730228,553528.8854097546
69,190227.6161204638,553533.4754692992
70,190231.37326788207,553538.0655289848
71,190233.25184157875,553540.3605588923
72,190237.00898895843,553544.9506188065
73,190238.88756263247,553547.2456488245
74,190239.98874434148,553549.57460769
75,190241.31672715425,553550.7051583218
76,190242.64470996676,553551.8357089674
78,190244.49881762746,553554.1229714784
80,190246.38043656282,553556.4441616599
83,190248.26205550198,553558.7653513935
85,190250.82544350188,553556.8429072485
86,190252.6688051188,553559.1865549568
88,190253.84871084464,553560.6524816813
89,190255.02861656298,553562.1184084227
90,190257.25867163934,553564.8890514793
91,190258.32379761015,553566.2123748328
92,190260.83452848566,553569.331732362
93,190262.66625627587,553571.6074906385
94,190265.89244501828,553575.6157400297
95,190268.63682931053,553579.0545976764
96,190271.703721832,553582.8480280311
97,190275.46638047087,553587.4913933607
98,190280.09023296766,553593.1679390239
99,190285.72951603,553600.1122942243
