,x,y
0,190839.37820089032,552835.3104867127
1,190834.44994556488,552834.5498920891
2,190833.3595964421,552839.7489341375
3,190828.6349241924,552843.2564777696
4,190823.82382839086,552846.8170426012
5,190819.95197304286,552849.6814513898
6,190814.62499775487,552853.5823512422
7,190810.7023209696,552856.4509081007
8,190803.79625316578,552861.3081681207
9,190799.1922080217,552864.5463413168
10,190794.5881629164,552867.784514374
11,190789.98411785896,552871.0226873038
12,190785.3800728448,552874.2608600934
13,190778.9001020221,552878.9320089477
14,190773.1381478365,552883.1391202875
15,190768.32746430495,552886.7268136811
16,190763.5167788808,552890.3145078336
17,190758.7060953545,552893.9022018948
18,190753.89541190435,552897.489896744
19,190749.0847266325,552901.0775894932
20,190744.27404139988,552904.6652820896
21,190739.4633581168,552908.2529745875
22,190733.5516232326,552908.4022734825
23,190729.98596798212,552911.148153384
24,190725.23176115126,552914.8093274351
25,190721.66610640308,552917.5552081034
26,190718.76066447547,552919.774036011
27,190714.27806027973,552923.1888022858
28,190712.03675819823,552924.8961853532
29,190707.55415405703,552928.3109514319
30,190703.07154995066,552931.7257173498
31,190700.83024790825,552933.4331002748
32,190696.34764385188,552936.8478659993
33,190691.8650398304,552940.2626315895
34,190686.4586556911,552944.2911961743
35,190680.60471822493,552948.6229922788
36,190675.1000787383,552952.6973096386
37,190667.87747697288,552958.0359087171
38,190660.65487539835,552963.3745084007
39,190655.01198372504,552967.4926075967
40,190647.72688201285,552972.718697184
41,190639.49333177786,552978.6954783475
42,190631.78506966133,552988.6601031101
43,190624.5128647244,552993.85725038
44,190617.06725288738,552999.3429375299
45,190607.34609111646,553002.7319971591
46,190601.6465346154,553010.9107335896
47,190592.47410109986,553017.7984867416
48,190585.24441132802,553023.1739177059
49,190578.92740921656,553027.919916075
50,190571.0807866804,553033.7440892237
51,190563.52126224226,553039.3804134707
52,190556.3514483001,553044.8487679488
53,190547.85568880945,553047.3360103355
54,190540.56548211552,553052.8218978865
55,190534.37458845487,553057.4659185491
56,190528.0510463436,553062.1795715347
57,190523.02370618144,553069.9767156483
58,190516.31781612668,553070.6619482525
59,190511.24465700443,553078.3888141983
60,190504.15384228303,553082.0093879021
61,190499.4656081473,553086.8009118794
62,190493.80900800988,553088.8137620455
63,190487.68655956525,553095.2130086939
64,190482.97494020863,553098.5778471739
65,190475.9075112583,553103.6251046333
66,190468.7301722996,553108.8307674092
67,190462.38048034807,553113.5595028943
68,190454.02461150946,553118.7023563569
69,190446.4658310319,553125.403836521
70,190438.0243993928,553131.6600474358
71,190429.56133653602,553137.8870595205
72,190421.9931309618,553143.4667085665
73,190413.02071174496,553150.1215872135
74,190405.0402113702,553156.0219958279
75,190396.6084223122,553162.2728460745
76,190387.21981311176,553169.2313222758
77,190381.4901999128,553173.4793763864
78,190373.61682802066,553179.321649775
79,190366.59074887336,553184.5599394916
80,190359.5646698204,553189.7982288803
81,190354.88061716253,553193.2904216349
82,190347.56074928003,553196.9557033555
83,190343.17048570106,553202.0209028762
84,190337.5505294903,553205.8247819598
85,190331.46035447766,553210.7513832359
86,190326.77630206023,553214.2435751212
87,190319.7502235038,553219.4818626895
88,190312.47648595012,553224.9160194501
89,190303.38144244405,553231.6925679415
90,190295.0967984512,553237.8447283399
91,190284.51601397648,553245.699789913
92,190273.62842243386,553253.7778176111
93,190260.37168673504,553263.6127185001
94,190245.34244361284,553274.7707151003
95,190228.51619259253,553283.3115978236
96,190212.30628391323,553299.2358298226
97,190193.01677774638,553313.5227812319
98,190171.11642200703,553329.7194424599
99,190147.1929327706,553347.4006084157
