x,y
190839.37820089,552835.310486713
190836.84984233,552832.784676306
190836.84984233,552832.784676306
190836.84984233,552832.784676306
190834.449945565,552834.549892089
190834.449945565,552834.549892089
190835.753329436,552837.979628538
190832.050046868,552836.315109231
190832.050046868,552836.315109231
190833.359596442,552839.748934138
190832.0581936,552840.716721773
190830.7567906,552841.684509358
190830.7567906,552841.684509358
190828.630078505,552838.829573082
190828.634924192,552843.25647777
190826.216425872,552840.59982352
190826.232928921,552845.035790665
190826.232928921,552845.035790665
190823.806554566,552842.367177777
190823.823828391,552846.817042601
190823.823828391,552846.817042601
190822.355404356,552847.90179895
190822.355404356,552847.90179895
190819.951973043,552849.68145139
190819.951973043,552849.68145139
190818.734852722,552850.578202396
190817.517732416,552851.474953389
190817.517732416,552851.474953389
190815.100982632,552853.235589754
190815.100982632,552853.235589754
190814.624997755,552853.582351242
190812.684232875,552854.996225369
190812.684232875,552854.996225369
190810.702321014,552856.45090801
190810.702321014,552856.45090801
190808.400298355,552858.06999481
190808.400298355,552858.06999481
190808.400298355,552858.06999481
190806.098275755,552859.689081484
190806.098275755,552859.689081484
190803.796253166,552861.308168121
190803.796253166,552861.308168121
190801.494230588,552862.927254736
190801.494230588,552862.927254736
190801.494230588,552862.927254736
190799.192208022,552864.546341317
190799.192208022,552864.546341317
190796.890185462,552866.165427864
190796.890185462,552866.165427864
190794.588162916,552867.784514374
190794.588162916,552867.784514374
190792.286140382,552869.40360085
190792.286140382,552869.40360085
190792.286140382,552869.40360085
190789.984117859,552871.022687304
190789.984117859,552871.022687304
190787.682095345,552872.641773723
190787.682095345,552872.641773723
190785.380072964,552874.260859977
190785.380072845,552874.260860093
190782.998660233,552875.979145248
190782.998660233,552875.979145248
190782.998660233,552875.979145248
190780.578408657,552877.725377376
190780.578408657,552877.725377376
190778.900102022,552878.932008948
190777.221795391,552880.138640506
190777.221795391,552880.138640506
190775.543488769,552881.345272044
190774.340818734,552882.242196431
190774.340818734,552882.242196431
190773.138147837,552883.139120288
190771.935476938,552884.036044123
190770.732806045,552884.932967951
190769.530135174,552885.829890826
190768.327464305,552886.726813681
190768.327464305,552886.726813681
190767.124792463,552887.623737465
190765.922120624,552888.52066124
190764.719449758,552889.417584539
190763.516778881,552890.314507834
190762.314107983,552891.211431605
190762.314107983,552891.211431605
190761.111437097,552892.108355359
190759.908766223,552893.005278637
190758.706095354,552893.902201895
190757.503424488,552894.799125622
190757.503424488,552894.799125622
190756.300753623,552895.696049335
190755.098082763,552896.592973038
190753.895411904,552897.489896744
190752.692740118,552898.386819459
190752.692740118,552898.386819459
190751.490068328,552899.283742157
190750.28739748,552900.180665833
190749.084726633,552901.077589493
190749.084726633,552901.077589493
190747.882055784,552901.974513146
190746.679384942,552902.8714368
190745.476713169,552903.768359447
190745.476713169,552903.768359447
190744.2740414,552904.66528209
190743.071371518,552905.562205722
190740.749672784,552902.842387578
190741.868701634,552906.459129351
190740.666029872,552907.356051971
190739.463358117,552908.252974587
190739.463358117,552908.252974587
190736.960770209,552905.745330556
190737.058018333,552910.046823683
190734.6006629,552907.584202098
190734.6006629,552907.584202098
190733.551623233,552908.402273483
190732.363071638,552909.317566792
190732.363071638,552909.317566792
190731.174520044,552910.2328601
190729.985967982,552911.148153384
190729.985967982,552911.148153384
190728.797415917,552912.06344668
190727.608864331,552912.978739946
190727.608864331,552912.978739946
190726.420312754,552913.894033224
190726.420312754,552913.894033224
190725.231761151,552914.809327435
190724.043209555,552915.724621627
190724.043209555,552915.724621627
