,x,y
0,189523.9824005133,553705.2718731964
1,189526.47340889863,553705.9637012306
2,189528.96441731032,553706.6555292809
3,189533.3438030761,553709.2439243653
4,189535.70712298952,553714.1865855171
5,189538.19226196827,553715.8662053506
6,189540.68139496894,553717.5513028519
7,189545.35916400538,553720.7595562728
8,189547.60181701332,553722.3170354873
9,189550.06252987465,553724.0012101785
10,189553.13143656807,553726.1016426333
11,189555.5795886713,553727.7744404572
12,189561.22480154602,553726.8037717436
13,189563.5005434189,553728.2584681328
14,189567.5928636152,553730.9028002167
15,189570.10386094727,553732.5375026169
16,189573.76617033614,553734.6341100188
17,189578.39194129812,553736.606650379
18,189583.5559358896,553737.6117239031
19,189590.3267267807,553736.5193300578
20,189594.96281532024,553735.1704477238
21,189601.1141837288,553732.2415356111
22,189604.73155690168,553729.5585768115
23,189608.77736732762,553722.6055155294
24,189615.8875449847,553721.2787806772
25,189620.10284712567,553718.1582194894
26,189627.30941010942,553712.8259467949
27,189634.51772603136,553707.4953821006
28,189640.45288597,553703.1066436133
29,189648.3954992012,553701.129535301
30,189656.84742247825,553694.9004048018
31,189664.08846632452,553689.549040067
32,189670.92430229695,553680.5845232896
33,189679.6918554988,553674.1038729943
34,189686.9095996239,553668.7812230546
35,189696.35209223683,553661.8080149543
36,189703.57214865173,553656.4652947277
37,189712.93889186185,553649.5311375543
38,189720.16356977774,553644.1808540146
39,189728.6978056288,553637.8518084035
40,189735.7299443096,553628.5300164656
41,189744.32296423608,553622.1415645999
42,189752.87321785602,553615.7889516817
43,189760.156390096,553610.3974467651
44,189767.39365376078,553605.0388527261
45,189774.6593275387,553599.6861816152
46,189780.26707917935,553595.4761575275
47,189786.7974562889,553590.6333385113
48,189793.51302317422,553589.6325857982
49,189798.31736888905,553586.0747501717
50,189803.11304635645,553582.5168315708
51,189807.1492533256,553579.5334421555
52,189809.4863684553,553577.8146444653
53,189814.1605987368,553574.3770489838
54,189816.49771389528,553572.6582511953
55,189818.83482906333,553570.9394533635
56,189821.17194424086,553569.2206555054
57,189825.8461746271,553565.7830596729
58,189828.73980512816,553562.2542323972
59,189835.19463552546,553558.9078675819
60,189839.8688660287,553555.4702713294
61,189847.13471175308,553546.1151411429
62,189856.4417593838,553539.2483927025
63,189867.71340261976,553534.9772365157
64,189880.9710163195,553525.1709288232
65,189895.2018687448,553510.5030768343
66,189911.74939133532,553502.4066387293
67,189929.71386528452,553489.1122243359
68,189948.33450669612,553475.3391959954
69,189966.24206830762,553462.0778677489
70,189986.43143859148,553447.1070902054
71,190005.41298492337,553433.0509406142
72,190022.641923138,553420.3036819244
73,190041.30528339648,553406.4934058146
74,190056.86064843487,553394.9732294115
75,190070.64964729548,553384.7106611248
76,190082.72204508356,553371.5085911341
77,190094.18610992449,553367.2089038067
78,190103.60069525425,553360.2081998718
79,190110.66163435593,553354.9576715325
80,190115.60287633524,553347.0904578471
81,190120.4402426528,553343.5285107292
82,190122.8661385448,553341.7275878022
83,190125.26823201065,553339.9441961296
93,190120.46404593746,553343.510976088
97,190127.67033097718,553338.1608041152
98,190131.4686075251,553336.5368218662
99,190137.72712754968,553334.8890631673
