x,y
189858.54159994604,553546.0743612674
189860.14118621984,553547.8470332131
189860.14118621984,553547.8470332131
189860.14118621984,553547.8470332131
189860.14118621984,553547.8470332131
189860.7276573822,553544.2273397888
189862.4038506945,553546.3211705241
189862.4038506945,553546.3211705241
189862.4038506945,553546.3211705241
189862.91371530324,553542.3803182797
189864.66651517956,553544.7953078066
189864.66651517956,553544.7953078066
189865.31926891237,553540.6116580974
189865.31926891237,553540.6116580974
189866.61484609175,553539.6530008827
189866.61484609175,553539.6530008827
189867.9104232712,553538.6943436603
189867.9104232712,553538.6943436603
189869.35765006472,553537.6234738316
189869.35765006472,553537.6234738316
189870.80487685595,553536.5526039895
189872.4535825051,553535.3326504477
189872.4535825051,553535.3326504477
189874.10228815753,553534.1126968897
189874.10228815753,553534.1126968897
189875.42993171947,553533.1303121297
189877.05458954413,553532.3142055135
189877.8144165495,553532.6911351179
189878.62811664803,553532.9307092937
189878.6450159705,553530.7513233626
189880.64291246145,553529.2729883089
189880.64291246145,553529.2729883089
189882.99618242777,553527.5316945333
189882.9961831801,553527.5316941347
189884.214295514,553526.6306429836
189885.43240784013,553525.7295918247
189885.43240784013,553525.7295918247
189887.83697647374,553523.9552597475
189887.83697647374,553523.9552597475
189890.24988149107,553522.1745628557
189890.24988149107,553522.1745628557
189892.65357638706,553520.4006617895
189892.65357638706,553520.4006617895
189895.06212482587,553518.6191302511
189895.06212482587,553518.6191302511
189897.47268876375,553516.8355570313
189898.21272296054,553516.2871164853
189899.41792859876,553515.3937811719
189900.6231342534,553514.500445852
189901.82833994017,553513.6071104628
189903.03354567484,553512.7137750622
189904.23875114275,553511.820439586
189905.44395662262,553510.9271041041
189906.6505944847,553510.0337975664
189907.85723235228,553509.1404910162
189909.06314992125,553508.2481126281
189910.26906750206,553507.3557342323
189912.6797679026,553505.5696689909
189913.64702060848,553504.8521851155
189915.91217338725,553503.1624742871
189915.91217338725,553503.1624742871
189918.16403401922,553501.4830060316
189918.16403401922,553501.4830060316
189920.55578626544,553499.7011075187
189922.08749629697,553498.5690803325
189923.29513788116,553497.6784894171
189924.50277944675,553496.7878994511
189925.710421015,553495.8973094703
189928.12387617162,553494.1166952365
189929.33096511735,553493.225362875
189930.53805407486,553492.3340305099
189931.7443429908,553491.4427802816
189932.95063191606,553490.5515300499
189935.36223063446,553488.7679824439
189936.00646160747,553488.2915293642
189938.40829281363,553486.5149307031
189938.40829281363,553486.5149307031
189940.8140799433,553484.7352984272
189940.8140799433,553484.7352984272
189943.21760865295,553482.9564696983
189945.17113129213,553481.5106857712
189946.3771895594,553480.6176608178
189947.58324783196,553479.7246358467
189948.78930609018,553478.8316113458
189951.20306527417,553477.0457053148
189952.41076619574,553476.1528237885
189953.6184074691,553475.2602349715
189954.82604875253,553474.3676461511
189957.24071038538,553472.5850454363
189957.24071038538,553472.5850454363
189959.64625928574,553470.8082728737
189961.1605107285,553469.6898249289
189963.56176038866,553467.9154063363
189963.56176038866,553467.9154063363
189965.96621277166,553466.136774101
189968.36805048917,553464.360076878
189968.36805048917,553464.360076878
